İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
The Jacket – Çıldırış,103 Dakika,2005,ABD  Almanya,John Maybury,Bilim Kurgu  Dram  Fantastik  Gerilim  Gizem,The Jacket
I Pugni in Tasca – Cepteki Yumruklar,105 Dakika,1965,İtalya,Marco Bellocchio,Dram,Fists in the Pocket
Das System Milch,90 Dakika,2018,Almanya  İtalya,Andreas Pichler,Belgesel,The Milk System
Wanda,102 Dakika,1971,ABD,Barbara Loden,Dram  Suç,Wanda
Rendez-vous à Bray,90 Dakika,1971,Almanya  Belçika  Fransa,André Delvaux,Dram  Müzik  Savaş,Appointment in Bray
César et Rosalie – Sen ve Ben,111 Dakika,1972,Fransa,Claude Sautet,Dram  Romantik,César and Rosalie
Christopher and His Kind,90 Dakika,2011,Birleşik Krallık,Geoffrey Sax,Biyografi  Dram  Romantik,Christopher and His Kind
La Messa e Finita – Ayin Bitti,94 Dakika,1985,İtalya,Nanni Moretti,Dram  Komedi,The Mass Is Ended
Welcome to the Dollhouse – Bebek Evine Hoşgeldiniz,88 Dakika,1996,ABD,Todd Solondz,Dram  Komedi,Welcome to the Dollhouse
Palindromes,100 Dakika,2004,ABD,Todd Solondz,Dram  Komedi,Palindrom
Körkarlen – Hayalet Araba,100 Dakika,1921,İsveç,Victor Sjöström,Dram  Fantastik  Korku,The Phantom Carriage
Treno Popolare,63 Dakika,1933,İtalya,Raffaello Matarazzo,Komedi,Treno Popolare
Nowhere to Go But Up – Mutlu Son,98 Dakika,2003,ABD  Almanya  Fransa,Amos Kollek,Dram  Komedi  Romantik,Happy End
Nowhere to Go,89 Dakika,1958,Birleşik Krallık,Basil Dearden,Dram  Suç,Nowhere to Go
Baron Prasil,83 Dakika,1962,Çekoslovakya,Karel Zeman,Bilim Kurgu  Fantastik  Komedi  Macera  Romantik  Savaş,The Fabulous Baron Munchausen
Kalandar Soğuğu,130 Dakika,2015,Türkiye,Mustafa Kara,Dram,Cold of Kalandar
Caro Diario – Sevgili Günlüğüm,100 Dakika,1993,Fransa  İtalya,Nanni Moretti,Biyografi  Dram  Komedi,Dear Diary
